resultId,raceId,driverId,teamId,grid,position,points,laps,time,fastestLap,fastestLapTime
1,1061,830,9,2,1,3,17,25:38.426,14,1:30.013
2,1061,1,131,1,2,2,17,+1.430,17,1:29.937
3,1061,822,131,3,3,1,17,+7.502,17,1:29.958
4,1061,844,6,4,4,0,17,+11.278,16,1:30.163
5,1061,846,1,6,5,0,17,+24.111,16,1:30.566
6,1061,817,1,7,6,0,17,+30.959,17,1:30.640
7,1061,4,214,11,7,0,17,+43.527,17,1:31.773
8,1061,20,117,10,8,0,17,+44.439,17,1:31.687
9,1061,847,3,8,9,0,17,+46.652,17,1:32.208
10,1061,839,214,13,10,0,17,+47.395,16,1:32.183
11,1061,832,6,9,11,0,17,+47.798,10,1:31.991
12,1061,842,213,12,12,0,17,+48.763,17,1:32.072
13,1061,8,51,17,13,0,17,+50.677,12,1:32.139
14,1061,840,117,15,14,0,17,+52.179,12,1:32.210
15,1061,841,51,14,15,0,17,+53.225,14,1:32.457
16,1061,852,213,16,16,0,17,+53.567,14,1:32.270
17,1061,849,3,18,17,0,17,+55.162,17,1:32.143
18,1061,854,210,19,18,0,17,+1:08.213,15,1:32.567
19,1061,853,210,20,19,0,17,+1:17.648,3,1:33.462
20,1061,815,9,5,\N,0,16,\N,6,1:31.465
21,1065,822,131,1,1,3,18,27:54.078,9,1:23.540
22,1065,830,9,3,2,2,18,+2.325,9,1:23.502
23,1065,817,1,5,3,1,18,+14.534,17,1:24.291
24,1065,846,1,4,4,0,18,+18.835,9,1:24.554
25,1065,1,131,2,5,0,18,+20.011,9,1:24.253
26,1065,844,6,8,6,0,18,+23.442,18,1:24.677
27,1065,832,6,7,7,0,18,+27.952,8,1:24.918
28,1065,841,51,10,8,0,18,+31.089,10,1:25.126
29,1065,815,9,9,9,0,18,+31.680,12,1:24.211
30,1065,840,117,12,10,0,18,+38.671,8,1:25.349
31,1065,4,214,13,11,0,18,+39.795,8,1:25.225
32,1065,20,117,11,12,0,18,+41.177,8,1:25.493
33,1065,839,214,14,13,0,18,+43.373,8,1:25.613
34,1065,849,3,16,14,0,18,+45.977,9,1:25.711
35,1065,847,3,15,15,0,18,+46.821,15,1:25.835
36,1065,852,213,17,16,0,18,+49.977,18,1:25.847
37,1065,853,210,20,17,0,18,+1:02.599,7,1:26.613
38,1065,9,51,19,18,0,18,+1:05.096,12,1:26.772
39,1065,854,210,18,19,0,18,+1:06.154,7,1:26.819
40,1065,842,213,6,\N,0,0,\N,\N,\N
41,1071,822,131,2,1,3,24,29:09.559,8,1:12.300
42,1071,830,9,1,2,2,24,+1.170,9,1:12.114
43,1071,832,6,5,3,1,24,+18.723,13,1:13.167
44,1071,815,9,3,4,0,24,+19.787,13,1:13.110
45,1071,1,131,20,5,0,24,+20.872,5,1:12.357
46,1071,846,1,7,6,0,24,+22.558,8,1:12.994
47,1071,844,6,6,7,0,24,+25.056,4,1:13.140
